Carat Weight;Cut;Color;Clarity;Polish;Symmetry;Report;class
"[0.75;0.9)";Good;I;VS1;VG;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Good;I;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS2;EX;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Good;I;VS2;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;I;VS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS2;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;H;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;E;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS2;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS1;VG;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VVS2;EX;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Fair;H;VS1;G;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Good;H;SI1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;SI1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Fair;F;VS2;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;G;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;EX;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;ID;ID;AGSL;"(2000;4000)"
